CommRound,Acc,Loss,Time
0,25.23,2.4844,0.0
1,28.15,2.4461,40.88
2,29.18,2.3760,58.75
3,31.70,2.2802,41.89
4,32.85,2.1867,53.34
5,34.35,2.1060,47.12
6,36.52,2.0358,47.64
7,37.83,1.9609,55.82
8,39.48,1.9124,50.60
9,41.27,1.8187,40.16
10,42.69,1.7318,51.49
11,44.28,1.6492,40.34
12,47.01,1.6011,44.20
13,49.53,1.5636,58.27
14,51.87,1.5363,50.65
15,53.37,1.4510,56.07
16,56.12,1.4307,44.57
17,58.83,1.4072,49.12
18,61.34,1.3262,49.78
19,62.99,1.2682,44.46
20,65.81,1.2253,59.88
21,68.32,1.1709,43.15
22,70.41,1.1332,40.39
23,73.08,1.0337,54.08
24,75.40,0.9832,54.84
25,77.71,0.9575,55.86
26,79.09,0.9220,45.52
27,80.15,0.8659,50.84
28,82.39,0.8063,55.55
29,83.74,0.7762,51.55
30,86.36,0.6890,58.30
