CommRound,Acc,Loss,Time
0,30.67,1.8197,0.0
1,32.24,1.7460,41.76
2,33.48,1.6793,47.67
3,35.74,1.6534,56.96
4,36.85,1.5753,42.85
5,39.03,1.5276,48.07
6,41.46,1.4836,50.46
7,43.02,1.4145,50.92
8,44.84,1.3452,49.37
9,46.19,1.3154,56.13
10,48.13,1.2651,41.30
11,50.19,1.2238,58.51
12,52.55,1.1791,48.15
13,54.82,1.0999,42.75
14,56.06,1.0034,55.43
15,57.60,0.9651,56.33
16,59.16,0.8751,49.25
17,61.38,0.7958,52.62
18,62.71,0.7569,53.07
19,63.80,0.6935,52.49
20,66.34,0.6086,49.05
21,68.89,0.5746,57.80
22,71.78,0.5059,57.28
23,74.45,0.4718,44.34
24,76.53,0.3792,41.13
25,79.22,0.2826,52.36
26,82.06,0.2044,45.20
27,83.26,0.1050,51.81
28,84.95,0.0722,54.26
29,86.19,0.0500,43.78
30,88.32,0.0500,58.41
